Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
2018,03/05,11.579.223.747.544.600,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2019,01/05,13.405.439.789.021.500,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2019,02/05,13.193.626.959.849.700,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2019,03/05,12.638.336.039.595.200,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2020,01/05,13.402.376.404.406.800,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2020,02/05,12.389.701.076.396.900,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2020,03/05,11.456.361.677.925.100,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2021,01/05,12.733.799.511.779.100,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2021,02/05,13.221.966.816.716.300,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2021,03/05,121.942.346.348.547,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2022,01/05,13.318.175.158.556.100,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2022,02/05,11.936.944.267.286.800,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2022,03/05,1.098.519.073.962.780,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2023,01/05,13.472.526.799.048.200,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2023,02/05,13.279.524.377.699.800,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2023,03/05,12.551.927.518.975.100,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2024,01/05,13.532.617.192.714.400,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2024,02/05,12.767.905.652.181.200,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2024,03/05,12.012.039.720.932.700,São Miguel do Iguaçu,30.0,0.45,0.9,12,6
2015,01/05,13.208.796.634.957.300,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2015,02/05,12.894.764.627.469.300,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2015,03/05,11.840.945.702.978.700,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2016,01/05,12.692.148.241.153.100,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2016,02/05,11.078.439.234.062.700,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2016,03/05,9.246.581.555.641.590,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2017,01/05,13.052.034.474.180.100,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2017,02/05,1.255.660.676.508.210,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
2017,03/05,11.473.812.534.863.400,São Pedro do Iguaçu,30.0,0.45,0.9,12,6
