municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico
Iracema do Oeste,25/02/,0.6960652195693321,0.10855420378335554,27,0.4074074074074074,0.14814814814814814,0.2962962962962963,0.9259259259259259,0.0,0.3333333333333333,Inapto (risco > 40%)
Iracema do Oeste,25/03/,0.6942882644790394,0.121953834703104,27,0.5555555555555556,0.48148148148148145,0.18518518518518517,1.0,0.14814814814814814,0.37037037037037035,Inapto (risco > 40%)
Itaipulândia,05/02/,0.6553970683535913,0.1374706292888312,27,0.5185185185185185,0.25925925925925924,0.4444444444444444,0.2222222222222222,0.0,0.2222222222222222,Inapto (risco > 40%)
Itaipulândia,05/03/,0.6682330332641668,0.11114843934357294,27,0.5555555555555556,0.4074074074074074,0.25925925925925924,0.9259259259259259,0.0,0.37037037037037035,Inapto (risco > 40%)
Itaipulândia,15/02/,0.6587776398023449,0.11485958966645947,27,0.4074074074074074,0.14814814814814814,0.2962962962962963,0.48148148148148145,0.0,0.2222222222222222,Inapto (risco > 40%)
Itaipulândia,15/03/,0.6873748312987056,0.10909098845913874,27,0.7037037037037037,0.5555555555555556,0.18518518518518517,1.0,0.0,0.4074074074074074,Inapto (risco > 40%)
Itaipulândia,25/02/,0.6568726971726491,0.11132836544726421,27,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.7777777777777778,0.0,0.2962962962962963,Inapto (risco > 40%)
Itaipulândia,25/03/,0.6978257961538197,0.12244495769247223,27,0.7777777777777778,0.7407407407407407,0.1111111111111111,1.0,0.0,0.3333333333333333,Inapto (risco > 40%)
Jesuítas,05/02/,0.7367959649254892,0.11735747019859148,27,0.4444444444444444,0.18518518518518517,0.37037037037037035,0.4074074074074074,0.0,0.14814814814814814,Inapto (risco > 40%)
Jesuítas,05/03/,0.6982077712546247,0.11075336530562344,27,0.4444444444444444,0.25925925925925924,0.2222222222222222,1.0,0.0,0.4074074074074074,Inapto (risco > 40%)
Jesuítas,15/02/,0.7224205090062198,0.10285044091227728,27,0.2962962962962963,0.07407407407407407,0.25925925925925924,0.7407407407407407,0.0,0.18518518518518517,Risco climático 30%
Jesuítas,15/03/,0.7042952869668655,0.10820316682975518,27,0.48148148148148145,0.2962962962962963,0.25925925925925924,1.0,0.037037037037037035,0.5185185185185185,Inapto (risco > 40%)
