cidade,uf,ano,secao,item,custo_rs_ha,custo_rs_60kg,participacao_pct,produtividade_kg_ha,participacao_ct_pct,categoria_total,categoria_item,fator_deflator,custo_rs_ha_real,custo_rs_60kg_real
Assis Chateaubriand,PR,2020,V - OUTROS CUSTOS FIXOS,30 - Seguro do capital fixo,6.1,0.06,0.24,6000.0,0.18,,Seguro,1.356761632067946,8.27624595561447,0.08140569792407676
Assis Chateaubriand,PR,2020,V - OUTROS CUSTOS FIXOS,31 - Arrendamento,16.07,0.16,0.64,6000.0,0.47,,Arrendamento,1.356761632067946,21.803159427331895,0.21708186113087138
Assis Chateaubriand,PR,2020,V - OUTROS CUSTOS FIXOS,TOTAL DE OUTROS CUSTOS FIXOS (F),159.87,1.6,6.38,6000.0,4.65,Total Outros Custos Fixos (F),,1.356761632067946,216.90548211870254,2.170818611308714
Assis Chateaubriand,PR,2020,V - OUTROS CUSTOS FIXOS,CUSTO FIXO (E+F=G),272.46,2.72,10.88,6000.0,7.92,Custo Fixo (G),,1.356761632067946,369.66327427323256,3.6903916392248135
Assis Chateaubriand,PR,2020,V - OUTROS CUSTOS FIXOS,CUSTO OPERACIONAL (D+G=H),2777.76,27.77,110.89,6000.0,80.61,Custo Operacional (H),,1.356761632067946,3768.758191093058,37.67727052252686
Assis Chateaubriand,PR,2020,VI - RENDA DE FATORES,32 - Remuneração esperada sobre o capital fixo,50.15,0.5,2.0,6000.0,1.46,,,1.356761632067946,68.04159584820749,0.678380816033973
Assis Chateaubriand,PR,2020,VI - RENDA DE FATORES,33 - Terra Própria,618.39,6.18,24.68,6000.0,17.94,,Terra,1.356761632067946,839.0078256544972,8.384786886179906
Assis Chateaubriand,PR,2020,VI - RENDA DE FATORES,TOTAL DE RENDA DE FATORES (I),668.54,6.69,26.68,6000.0,19.4,Total Renda de Fatores (I),,1.356761632067946,907.0494215027046,9.07673531853456
Assis Chateaubriand,PR,2020,VI - RENDA DE FATORES,CUSTO TOTAL (H+I=J),3446.3,34.46,137.57,6000.0,,Custo Total (J),,1.356761632067946,4675.807612595763,46.75400584106142
Assis Chateaubriand,PR,2021,I - DESPESAS DO CUSTEIO,1 - Operação com animal,0.0,0.0,0.0,6000.0,0.0,,,1.2527626200113375,0.0,0.0
Assis Chateaubriand,PR,2021,I - DESPESAS DO CUSTEIO,2 - Operação com Avião,0.0,0.0,0.0,6000.0,0.0,,,1.2527626200113375,0.0,0.0
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,3.1 - Tratores e Colheitadeiras,127.37,1.2737,3.87,6000.0,3.16,,,1.2527626200113375,159.56437491084407,1.5956437491084408
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,3.2 - Conjunto de Irrigação,0.0,0.0,0.0,6000.0,0.0,,,1.2527626200113375,0.0,0.0
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,4 - Aluguel de Máquinas,300.15,3.0015,9.13,6000.0,7.44,,Máquinas/Depreciação,1.2527626200113375,376.01670039640294,3.7601670039640296
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,5 - Aluguel de Animais,0.0,0.0,0.0,6000.0,0.0,,,1.2527626200113375,0.0,0.0
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,6 - Mão de obra,0.0,0.0,0.0,6000.0,0.0,,Mão de obra,1.2527626200113375,0.0,0.0
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,7 - Administrador,77.0,0.77,2.34,6000.0,1.91,,Administração,1.2527626200113375,96.462721740873,0.9646272174087299
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,8 - Sementes e mudas,677.0,6.77,20.59,6000.0,16.78,,Sementes,1.2527626200113375,848.1202937476755,8.481202937476755
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,9 - Fertilizantes,1007.0,10.07,30.63,6000.0,24.96,,Fertilizantes,1.2527626200113375,1261.531958351417,12.61531958351417
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,10 - Agrotóxicos,504.3,5.043,15.34,6000.0,12.5,,Defensivos/Agrotóxicos,1.2527626200113375,631.7681892717176,6.317681892717175
Assis Chateaubriand,PR,2021,3 - Operação com máquinas:,11 - Receita,0.0,0.0,0.0,6000.0,0.0,,,1.2527626200113375,0.0,0.0
Assis Chateaubriand,PR,2021,12 - Outros:,12.1 - Embalagens/Utensílios,0.0,0.0,0.0,6000.0,0.0,,,1.2527626200113375,0.0,0.0
Assis Chateaubriand,PR,2021,12 - Outros:,12.2 - Análise de Solo,0.0,0.0,0.0,6000.0,0.0,,,1.2527626200113375,0.0,0.0
Assis Chateaubriand,PR,2021,12 - Outros:,12.3 - Demais Despesas,0.0,0.0,0.0,6000.0,0.0,,,1.2527626200113375,0.0,0.0
Assis Chateaubriand,PR,2021,12 - Outros:,13 - Serviços Diversos,0.0,0.0,0.0,6000.0,0.0,,,1.2527626200113375,0.0,0.0
Assis Chateaubriand,PR,2021,12 - Outros:,TOTAL DAS DESPESAS DE CUSTEIO (A),2692.82,26.9282,81.9,6000.0,66.75,Total Despesas de Custeio (A),,1.2527626200113375,3373.46423841893,33.7346423841893
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,14 - Transporte Externo,186.0,1.86,5.66,6000.0,4.61,,Transporte,1.2527626200113375,233.01384732210877,2.330138473221088
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,15 - Despesas Administrativas,80.78,0.8078,2.46,6000.0,2.0,,Administração,1.2527626200113375,101.19816444451585,1.0119816444451584
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,16 - Despesas de armazenagem,0.0,0.0,0.0,6000.0,0.0,,,1.2527626200113375,0.0,0.0
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,17 - Beneficiamento,0.0,0.0,0.0,6000.0,0.0,,,1.2527626200113375,0.0,0.0
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,18 - Seguro da Produção,134.64,1.3464,4.1,6000.0,3.34,,Seguro,1.2527626200113375,168.67195915832647,1.686719591583265
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,19 - Seguro do crédito,0.0,0.0,0.0,6000.0,0.0,,Seguro,1.2527626200113375,0.0,0.0
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,20 - Assistência Técnica,26.93,0.2693,0.82,6000.0,0.67,,,1.2527626200113375,33.73689735690532,0.33736897356905315
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,21 - Classificação,0.0,0.0,0.0,6000.0,0.0,,,1.2527626200113375,0.0,0.0
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,22 - Outros,0.0,0.0,0.0,6000.0,0.0,,,1.2527626200113375,0.0,0.0
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,23 - CESSR,117.75,1.1775,3.58,6000.0,2.92,,,1.2527626200113375,147.512798506335,1.4751279850633499
Assis Chateaubriand,PR,2021,II - OUTRAS DESPESAS,TOTAL DAS OUTRAS DESPESAS (B),546.1,5.461,16.62,6000.0,13.54,Total Outras Despesas (B),,1.2527626200113375,684.1336667881915,6.841336667881914
Assis Chateaubriand,PR,2021,III - DESPESAS FINANCEIRAS,24 - Juros do Financiamento,48.87,0.48,1.49,6000.0,1.21,,Juros/Financiamento,1.2527626200113375,61.222509239954064,0.601326057605442
Assis Chateaubriand,PR,2021,III - DESPESAS FINANCEIRAS,TOTAL DAS DESPESAS FINANCEIRAS (C),48.87,0.48,1.49,6000.0,1.21,Total Despesas Financeiras (C),,1.2527626200113375,61.222509239954064,0.601326057605442
Assis Chateaubriand,PR,2021,III - DESPESAS FINANCEIRAS,CUSTO VARIÁVEL (A+B+C=D),3287.79,32.8692,100.01,6000.0,81.5,Custo Variável (D),,1.2527626200113375,4118.820414447076,41.17730510967665
Assis Chateaubriand,PR,2021,IV - DEPRECIAÇÕES,25 - Depreciação de benfeitorias/instalações,11.46,0.11465,0.35,6000.0,0.28,,Máquinas/Depreciação,1.2527626200113375,14.356659625329929,0.14362923438429986
Assis Chateaubriand,PR,2021,IV - DEPRECIAÇÕES,26 - Depreciação de implementos,151.46,1.51461,4.61,6000.0,3.75,,Máquinas/Depreciação,1.2527626200113375,189.74342642691718,1.897446791895372
Assis Chateaubriand,PR,2021,IV - DEPRECIAÇÕES,27 - Depreciação de Máquinas,21.73,0.21734,0.66,6000.0,0.54,,Máquinas/Depreciação,1.2527626200113375,27.222531732846367,0.2722754278332641
Assis Chateaubriand,PR,2021,IV - DEPRECIAÇÕES,TOTAL DE DEPRECIAÇÕES (E),184.65,1.8466,5.62,6000.0,4.57,Total Depreciações (E),Máquinas/Depreciação,1.2527626200113375,231.32261778509348,2.313351454112936
Assis Chateaubriand,PR,2021,V - OUTROS CUSTOS FIXOS,28 - Manutenção Periódica Benfeitorias/Instalações,146.78,1.46783,4.46,6000.0,3.64,,,1.2527626200113375,183.88049736526412,1.8388425565312416
Assis Chateaubriand,PR,2021,V - OUTROS CUSTOS FIXOS,29 - Encargos Sociais,35.1,0.35104,1.07,6000.0,0.87,,,1.2527626200113375,43.97196796239795,0.4397697901287799
Assis Chateaubriand,PR,2021,V - OUTROS CUSTOS FIXOS,30 - Seguro do capital fixo,9.4,0.09403,0.29,6000.0,0.23,,Seguro,1.2527626200113375,11.775968628106574,0.11779726915966607
Assis Chateaubriand,PR,2021,V - OUTROS CUSTOS FIXOS,31 - Arrendamento,29.44,0.29438,0.9,6000.0,0.73,,Arrendamento,1.2527626200113375,36.88133153313378,0.3687882600789375
Assis Chateaubriand,PR,2021,V - OUTROS CUSTOS FIXOS,TOTAL DE OUTROS CUSTOS FIXOS (F),220.72,2.20728,6.72,6000.0,5.47,Total Outros Custos Fixos (F),,1.2527626200113375,276.5097654889024,2.765197875898625
