,Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
263,2018,02/25,12.261702995327136,Santa Helena,30.0,0.45,0.9,0.013,0.006
264,2019,02/25,13.144660015896994,Santa Helena,30.0,0.45,0.9,0.013,0.006
265,2020,02/25,12.388239212301144,Santa Helena,30.0,0.45,0.9,0.013,0.006
266,2021,02/25,12.62887638045826,Santa Helena,30.0,0.45,0.9,0.013,0.006
267,2022,02/25,11.586886098763555,Santa Helena,30.0,0.45,0.9,0.013,0.006
268,2023,02/25,12.799694421112576,Santa Helena,30.0,0.45,0.9,0.013,0.006
269,2024,02/25,12.708696952260363,Santa Helena,30.0,0.45,0.9,0.013,0.006
270,2015,02/25,12.660408094998798,São Miguel do Iguaçu,30.0,0.45,0.9,0.013,0.006
271,2016,02/25,10.516582949440823,São Miguel do Iguaçu,30.0,0.45,0.9,0.013,0.006
272,2017,02/25,12.244324753238711,São Miguel do Iguaçu,30.0,0.45,0.9,0.013,0.006
273,2018,02/25,11.762428126047448,São Miguel do Iguaçu,30.0,0.45,0.9,0.013,0.006
274,2019,02/25,13.013386304274345,São Miguel do Iguaçu,30.0,0.45,0.9,0.013,0.006
275,2020,02/25,11.87950876943157,São Miguel do Iguaçu,30.0,0.45,0.9,0.013,0.006
276,2021,02/25,12.631065835112887,São Miguel do Iguaçu,30.0,0.45,0.9,0.013,0.006
277,2022,02/25,11.11768001260816,São Miguel do Iguaçu,30.0,0.45,0.9,0.013,0.006
278,2023,02/25,12.63544249220344,São Miguel do Iguaçu,30.0,0.45,0.9,0.013,0.006
279,2024,02/25,12.456435379928926,São Miguel do Iguaçu,30.0,0.45,0.9,0.013,0.006
280,2015,02/25,12.22760240733614,São Pedro do Iguaçu,30.0,0.45,0.9,0.013,0.006
281,2016,02/25,9.622894163130589,São Pedro do Iguaçu,30.0,0.45,0.9,0.013,0.006
282,2017,02/25,11.764810161901812,São Pedro do Iguaçu,30.0,0.45,0.9,0.013,0.006
283,2018,02/25,11.387054543386284,São Pedro do Iguaçu,30.0,0.45,0.9,0.013,0.006
284,2019,02/25,12.656174799305175,São Pedro do Iguaçu,30.0,0.45,0.9,0.013,0.006
285,2020,02/25,11.518772637482114,São Pedro do Iguaçu,30.0,0.45,0.9,0.013,0.006
286,2021,02/25,12.257318445894706,São Pedro do Iguaçu,30.0,0.45,0.9,0.013,0.006
287,2022,02/25,10.438737573531665,São Pedro do Iguaçu,30.0,0.45,0.9,0.013,0.006
288,2023,02/25,12.02451928557114,São Pedro do Iguaçu,30.0,0.45,0.9,0.013,0.006
289,2024,02/25,12.352495126738468,São Pedro do Iguaçu,30.0,0.45,0.9,0.013,0.006
290,2015,02/25,12.556143497311787,Toledo,30.0,0.45,0.9,0.013,0.006
291,2016,02/25,10.211909899458547,Toledo,30.0,0.45,0.9,0.013,0.006
292,2017,02/25,12.044871661600032,Toledo,30.0,0.45,0.9,0.013,0.006
293,2018,02/25,11.931237374320485,Toledo,30.0,0.45,0.9,0.013,0.006
294,2019,02/25,12.885786617678994,Toledo,30.0,0.45,0.9,0.013,0.006
295,2020,02/25,12.284113617982811,Toledo,30.0,0.45,0.9,0.013,0.006
296,2021,02/25,12.649222479517134,Toledo,30.0,0.45,0.9,0.013,0.006
