municipio,data_semeadura,isna_medio,isna_desvio,n_anos,risco_climatico,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico,score_clima,score_economico,score_combinado
Medianeira,05/02/,0.6800880911271748,0.13787540371259055,27,Baixo risco climático,7.7,-951.3254860272274,Menos viável,0,2,2
Medianeira,05/03/,0.7004610624608203,0.09805850684361093,27,Baixo risco climático,7.7,-885.8286291956612,Viabilidade intermediária,0,1,1
Medianeira,15/02/,0.6829891100579876,0.1145878032351395,27,Baixo risco climático,7.7,-914.6901291814988,Menos viável,0,2,2
Medianeira,15/03/,0.7256315062492221,0.09863361290099212,27,Baixo risco climático,7.7,-917.9069305955802,Menos viável,0,2,2
Medianeira,25/02/,0.6831994954505907,0.10394257552131521,27,Baixo risco climático,7.7,-895.3474017537337,Viabilidade intermediária,0,1,1
Medianeira,25/03/,0.732883334046447,0.11756606026748702,27,Baixo risco climático,7.7,-897.0886875133345,Viabilidade intermediária,0,1,1
Mercedes,05/02/,0.6806028907325431,0.13573474323343415,27,Baixo risco climático,3.8,-974.9469231504386,Menos viável,0,2,2
Mercedes,05/03/,0.6766378040844496,0.12134561632809408,27,Baixo risco climático,3.8,-950.6824340706394,Menos viável,0,2,2
Mercedes,15/02/,0.685495188587388,0.12104786284246781,27,Baixo risco climático,3.8,-967.9193751822605,Menos viável,0,2,2
Mercedes,15/03/,0.6875929339668806,0.11848222409029664,27,Baixo risco climático,3.8,-988.6172553717081,Menos viável,0,2,2
Mercedes,25/02/,0.6722181198867996,0.12189587635346193,27,Baixo risco climático,3.8,-937.1246920688017,Menos viável,0,2,2
Mercedes,25/03/,0.6949196814823874,0.12480684182813055,27,Baixo risco climático,3.8,-960.1078052502131,Menos viável,0,2,2
Missal,05/02/,0.6553575600967221,0.13744095113972055,27,Baixo risco climático,3.8,-991.4804246645843,Menos viável,0,2,2
Missal,05/03/,0.6682049498238489,0.11113072105303147,27,Baixo risco climático,3.8,-953.1887749765185,Menos viável,0,2,2
Missal,15/02/,0.6587328402550285,0.1148280943453235,27,Baixo risco climático,3.8,-974.3352032188862,Menos viável,0,2,2
Missal,15/03/,0.6873291400200265,0.10907349373410463,27,Baixo risco climático,3.8,-984.9316489498176,Menos viável,0,2,2
Missal,25/02/,0.6568292198253602,0.1113043970782838,27,Baixo risco climático,3.8,-959.7908864367417,Menos viável,0,2,2
Missal,25/03/,0.6977633018150117,0.12243283885155397,27,Baixo risco climático,3.8,-957.1263179086899,Menos viável,0,2,2
Nova Aurora,05/02/,0.7383420498577367,0.11728852881254148,27,Baixo risco climático,7.7,-881.9026426743978,Viabilidade intermediária,0,1,1
Nova Aurora,05/03/,0.699596913970643,0.11085523847409283,27,Baixo risco climático,7.7,-874.9327873196188,Viabilidade intermediária,0,1,1
Nova Aurora,15/02/,0.7240306107696058,0.10291285595333097,27,Baixo risco climático,3.8,-895.7005969422142,Viabilidade intermediária,0,1,1
Nova Aurora,15/03/,0.7058749609075462,0.10807035335818016,27,Baixo risco climático,7.7,-878.265144347097,Viabilidade intermediária,0,1,1
Nova Aurora,25/02/,0.6994958532013464,0.10838233173400398,27,Baixo risco climático,3.8,-879.3483619134157,Viabilidade intermediária,0,1,1
Nova Aurora,25/03/,0.6978403109771207,0.12196195953719798,27,Baixo risco climático,3.8,-884.6063029051214,Viabilidade intermediária,0,1,1
Nova Santa Rosa,05/02/,0.7139855439370277,0.1251725850879391,27,Baixo risco climático,7.7,-907.7743811525652,Viabilidade intermediária,0,1,1
Nova Santa Rosa,05/03/,0.6936370754607348,0.1120546423377958,27,Baixo risco climático,7.7,-902.6495351317683,Viabilidade intermediária,0,1,1
Nova Santa Rosa,15/02/,0.7096246155441404,0.10783805141160673,27,Baixo risco climático,3.8,-937.8054444543211,Menos viável,0,2,2
Nova Santa Rosa,15/03/,0.700154959103425,0.11218945712220625,27,Baixo risco climático,7.7,-919.7765041352429,Menos viável,0,2,2
Nova Santa Rosa,25/02/,0.6912163536794037,0.11023529887510239,27,Baixo risco climático,7.7,-905.916345749043,Viabilidade intermediária,0,1,1
Nova Santa Rosa,25/03/,0.7009022120772302,0.1222652110649407,27,Baixo risco climático,7.7,-911.1967885956516,Viabilidade intermediária,0,1,1
Ouro Verde do Oeste,05/02/,0.7288007483577702,0.11883729284143872,27,Baixo risco climático,3.8,-896.2958114524087,Viabilidade intermediária,0,1,1
Ouro Verde do Oeste,05/03/,0.7248568321415673,0.0973365339050117,27,Baixo risco climático,7.7,-855.045593819119,Mais viável,0,0,0
Ouro Verde do Oeste,15/02/,0.7274588887491932,0.09874422751089611,27,Baixo risco climático,7.7,-891.6570300024704,Viabilidade intermediária,0,1,1
Ouro Verde do Oeste,15/03/,0.7344679606334366,0.10030476429394417,27,Baixo risco climático,7.7,-874.9694008469667,Viabilidade intermediária,0,1,1
