municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico,produtividade_media_kg_ha,produtividade_desvio_kg_ha,classe_produtividade,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico,score_clima,score_produtividade,score_economico,score_integrado
Assis Chateaubriand,25/02/,0.6893497333311531,0.1099295582248046,27,0.3703703703703703,0.2222222222222222,0.1851851851851851,0.8888888888888888,0.0,0.2962962962962963,Risco climático 40%,3108.9533951502517,542.5307447361838,Produtividade prevista intermediária,7.7,-904.8731571881154,Viabilidade intermediária,2,1,1,4
Assis Chateaubriand,25/03/,0.6990632357662605,0.1222270136190685,27,0.7037037037037037,0.6296296296296297,0.1481481481481481,1.0,0.1481481481481481,0.4074074074074074,Inapto (risco > 40%),3125.6285395768855,557.4568190107506,Produtividade prevista intermediária,7.7,-911.097112368821,Viabilidade intermediária,3,1,1,5
Boa Vista da Aparecida,05/02/,0.7571704753342134,0.1042118356964033,27,0.4074074074074074,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.0,0.3333333333333333,Inapto (risco > 40%),3260.4016995821667,350.6568117162198,Alta produtividade prevista,3.8,-873.3012915861408,Mais viável,3,0,0,3
Boa Vista da Aparecida,05/03/,0.7430724633972594,0.0997492252116035,27,0.3703703703703703,0.2592592592592592,0.1481481481481481,1.0,0.0,0.5925925925925926,Risco climático 40%,3310.941075692675,394.49070006324524,Alta produtividade prevista,3.8,-841.0285450917485,Mais viável,2,0,0,2
Boa Vista da Aparecida,15/02/,0.7472407744886106,0.0962708530555981,27,0.2222222222222222,0.037037037037037,0.1851851851851851,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,3341.900707063746,344.2863077203805,Alta produtividade prevista,3.8,-837.2989203989721,Mais viável,1,0,0,1
Boa Vista da Aparecida,15/03/,0.7516551028725231,0.105215305114228,27,0.4444444444444444,0.3333333333333333,0.1111111111111111,1.0,0.037037037037037,0.5555555555555556,Inapto (risco > 40%),3323.660758053751,342.8261913232349,Alta produtividade prevista,3.8,-846.1450547739654,Mais viável,3,0,0,3
Boa Vista da Aparecida,25/02/,0.7346683293265843,0.0986506700555185,27,0.2592592592592592,0.1851851851851851,0.1111111111111111,0.9629629629629628,0.0,0.4444444444444444,Risco climático 30%,3323.4687694116856,310.83242667595016,Alta produtividade prevista,3.8,-833.5507212220099,Mais viável,1,0,0,1
Boa Vista da Aparecida,25/03/,0.7461242747288542,0.1197616320394461,27,0.4814814814814814,0.4074074074074074,0.1111111111111111,1.0,0.1481481481481481,0.5555555555555556,Inapto (risco > 40%),3305.124175311395,339.21915773223975,Alta produtividade prevista,3.8,-848.0219643048289,Mais viável,3,0,0,3
Braganey,05/02/,0.7750169967399642,0.1020588779249508,27,0.3333333333333333,0.1481481481481481,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%,3366.1048745647067,320.0222991719009,Alta produtividade prevista,3.8,-849.8007488384768,Mais viável,2,0,0,2
Braganey,05/03/,0.7487224708555713,0.0986556873581582,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.5925925925925926,Risco climático 40%,3358.5981420561807,389.22264335232353,Alta produtividade prevista,3.8,-837.2960190525228,Mais viável,2,0,0,2
